time,distance_permin_pernumber,shrimp_number
 2020-09-23 23:55:34,12.24,46
 2020-09-24 23:55:31,13.93,44.06
 2020-09-25 23:55:40,15.51,30.57
 2020-09-26 23:55:41,13.44,29.66
 2020-09-27 23:55:43,14.42,39.13
 2020-09-28 23:55:46,16.08,38.21
 2020-09-30 23:55:49,16.08,35.93
 2020-10-01 23:55:45,16.29,39.86
 2020-10-02 23:55:54,14.06,36.95
 2020-10-03 23:55:53,18.39,38.47
 2020-10-06 23:55:54,18.71,36.25
 2020-10-07 23:55:54,17.75,39.03
 2020-10-10 23:55:59,16.13,33.53
 2020-10-12 23:56:05,17.51,34.08
 2020-10-13 23:56:09,16.58,40.99
 2020-10-14 23:56:07,16.89,32.87
 2020-10-15 23:56:14,17.84,26.97
 2020-10-17 23:56:14,17.24,34.74
 2020-10-18 23:56:22,12.2,25.17
 2020-10-20 23:56:19,18.74,28.95
 2020-10-21 23:56:28,18.29,28.31
 2020-10-22 23:56:22,19.04,30.19
 2020-10-23 23:56:24,19.75,25.33
 2020-10-24 23:56:25,14.97,28.71
 2020-10-25 23:56:31,15.93,31.25
 2020-10-26 23:56:30,17.58,42.37
 2020-10-27 23:56:37,18.12,36.85
 2020-10-28 23:56:41,13.27,22.07
 2020-10-30 23:56:37,15.23,31.37
 2020-10-31 23:56:46,11.62,35.06
 2020-11-01 23:56:41,12.47,32.07
 2020-11-02 23:56:43,20.25,36.04
 2020-11-03 23:56:45,18.76,28.84
 2020-11-07 23:56:52,17.09,28.46
 2020-11-10 23:57:05,18.5,41.24
 2020-11-11 23:59:08,19.85,42.49
 2020-11-12 23:57:09,14.93,38.97
 2020-11-13 23:57:10,17.11,39
 2020-11-14 23:57:13,17.03,36.81
 2020-11-15 23:57:,16.14,29.99
 2020-11-16 23:57:16,16.66,23.97
 2020-11-17 23:57:17,14.3,29.22
 2020-11-18 23:57:21,17.75,24.46
 2020-11-22 23:57:18,12.03,28.5
 2020-11-23 23:57:26,19.63,28.14
 2020-11-24 23:57:31,13.44,24.73
