time,distance_permin_pernumber,shrimp_number
 2017-12-01 23:58:35,12.04,11.74
 2017-12-01 23:58:35,15.31,13.9
 2017-12-02 23:58:35,12.48,15.48
 2017-12-03 23:58:33,12.87,16.8
 2017-12-04 23:58:30,11.89,14.1
 2017-12-05 23:58:30,14.39,12.52
 2017-12-06 23:58:30,16.14,13.67
 2017-12-08 23:58:15,15.7,13.28
 2017-12-09 23:58:14,16.89,10.64
 2017-12-12 23:58:13,13.46,9.47
 2017-12-13 23:58:09,15.8,12.54
 2017-12-14 23:58:09,13.79,10.93
 2017-12-15 23:58:10,13.54,15.56
 2017-12-16 23:58:08,14.53,10.11
 2017-12-17 23:58:21,11.03,11.51
 2017-12-18 23:58:20,11.34,11.11
 2017-12-20 23:58:19,14.17,10.36
 2017-12-21 23:58:17,16.02,7.4
 2017-12-22 23:58:17,16.04,8.51
 2017-12-23 23:58:14,10.65,7.74
 2017-12-24 23:58:16,13.96,9.29
 2017-12-25 23:58:15,16.34,9.04
 2017-12-26 23:58:14,14.1,10.55
 2017-12-27 23:58:14,13.49,9.77
 2017-12-28 23:58:12,15.89,9.83
 2017-12-30 23:58:11,12.64,12.1
 2017-12-31 23:58:10,14.31,11.71
 2018-01-01 23:58:08,13.47,11.8
 2018-01-02 23:58:07,18.32,12.04
 2018-01-03 23:58:07,14.81,11.62
 2018-01-04 23:58:06,16.66,8.17
 2018-01-05 23:58:06,13.13,9.03
 2018-01-06 23:58:06,12.61,15.34
 2018-01-07 23:58:04,15.37,10.8
 2018-01-08 23:58:04,10.38,9.34
 2018-01-10 23:58:01,10.01,9.89
 2018-01-11 23:58:02,11.71,12.47
 2018-01-12 23:58:00,14.71,11.3
 2018-01-13 23:57:58,10.9,9.2
 2018-01-14 23:57:57,13.68,13.16
 2018-01-15 23:57:58,14.23,12.08
 2018-01-16 23:57:57,11.89,14.25
 2018-01-17 23:57:58,14.88,12.85
 2018-01-18 23:57:55,8.95,11.97
 2018-01-20 23:57:53,12.03,11.14
 2018-01-21 23:57:51,13.52,13.95
 2018-01-22 23:57:52,10.6,11.23
 2018-01-23 23:57:51,9.5,9.02
 2018-01-24 23:57:50,13.02,9.62
