time,distance_permin_pernumber,shrimp_number
 2017-07-25 00:00:25,12.97,19.16
 2017-07-28 00:00:22,10.59,21.05
 2017-08-02 00:00:18,12.49,15.23
 2017-08-05 00:00:14,15.88,23.14
 2017-08-24 23:59:45,15.22,10.78
 2017-08-25 23:59:42,15.44,10.61
 2017-08-26 23:59:42,16.26,20.34
 2017-08-27 23:59:40,11.06,13.26
 2017-08-28 23:59:42,16.64,21.99
 2017-09-14 23:59:38,12.33,13.5
 2017-09-06 23:59:47,14.35,16.64
 2017-09-07 23:59:46,14.45,19.72
 2017-09-08 23:59:44,18.86,22.64
 2017-09-12 23:59:40,15.15,20.68
 2017-09-13 23:59:39,15.37,19.45
 2017-09-15 23:59:40,14.59,19.01
 2017-09-16 23:59:38,14.07,16.46
 2017-09-18 23:59:35,16.64,14.24
 2017-09-21 23:59:33,15.47,18.8
 2017-09-22 23:59:35,14.14,19.53
 2017-09-23 23:59:32,17.64,11.34
 2017-09-25 23:59:31,15.44,12.95
 2017-10-10 23:59:17,10.92,20.55
 2017-10-11 23:59:18,18.32,20.89
 2017-10-12 23:59:17,14.04,14.86
 2017-10-13 23:59:16,15.41,16.71
 2017-10-17 23:59:11,10.13,13.05
 2017-10-23 23:59:07,11.44,12.42
 2017-10-24 23:59:06,11.89,14.47
 2017-10-27 23:59:03,15.65,16.41
 2017-11-05 23:58:54,17.49,14.03
 2017-11-13 23:58:48,14.95,14.39
 2017-11-20 23:58:42,13.98,16.85
 2017-12-05 23:58:30,14.39,12.52
 2017-12-06 23:58:30,16.14,13.67
 2017-12-15 23:58:10,13.52,15.56
 2017-12-16 23:58:08,14.52,10.11
 2017-12-17 23:58:21,11.03,11.51
 2017-12-20 23:58:19,14.18,10.36
 2017-12-24 23:58:16,13.94,9.29
 2017-12-25 23:58:15,16.34,9.04
 2017-12-26 23:58:14,14.1,10.55
 2017-12-27 23:58:14,13.49,9.77
 2017-12-28 23:58:12,15.89,9.83
 2018-01-02 23:58:07,18.32,12.04
 2018-01-05 23:58:06,13.13,9.03
 2018-01-08 23:58:04,10.38,9.34
 2018-01-10 23:58:01,9.98,9.89
 2018-01-11 23:58:02,11.72,12.47
 2018-01-13 23:57:58,10.9,9.2
 2018-01-15 23:57:58,14.24,12.08
