time,distance/mm/per_crab
 2020-09-23 23:55:00,3.18718
 2020-09-24 23:55:31,10.79563333
 2020-09-25 23:55:40,21.06234667
 2020-09-26 23:55:41,11.98631333
 2020-09-27 23:55:43,0.52822
 2020-09-28 23:55:46,0.01
 2020-09-30 23:55:00,0
 2020-10-01 23:55:45,0
 2020-10-02 23:55:54,27.63128667
 2020-10-03 23:55:53,8.513606667
 2020-10-06 23:55:00,7.521626667
 2020-10-07 23:55:54,0
 2020-10-10 23:55:00,0
 2020-10-12 23:56:05,0
 2020-10-13 23:56:00,34.41402667
 2020-10-14 23:56:07,0
 2020-10-15 23:56:14,0
 2020-10-17 23:56:14,29.17763333
 2020-10-18 23:56:22,8.473733333
 2020-10-20 23:56:19,11.68559333
 2020-10-21 23:56:28,0
 2020-10-22 23:56:00,2.249726667
 2020-10-23 23:56:24,0
 2020-10-24 23:56:00,0
 2020-10-25 23:56:31,14.16989
 2020-10-26 23:56:30,6.89896
 2020-10-27 23:56:37,12.70414667
 2020-10-28 23:56:41,0
 2020-10-30 23:56:37,18.82991333
 2020-10-31 23:56:00,3.506746667
 2020-11-01 23:56:41,15.16001333
 2020-11-02 23:56:43,22.76159333
 2020-11-03 23:56:45,0
 2020-11-07 23:56:52,26.48598
 2020-11-10 23:57:05,13.32222
 2020-11-11 23:57:07,48.11347
 2020-11-12 23:57:09,17.17786
 2020-11-13 23:57:10,23.43639333
 2020-11-14 23:57:13,54.23096
 2020-11-15 23:57:00,26.65943333
 2020-11-16 23:57:16,3.955946667
 2020-11-17 23:57:17,0
 2020-11-18 23:57:21,43.57508667
 2020-11-22 23:57:18,0
 2020-11-23 23:57:26,7.770093333
 2020-11-24 23:57:31,3.51
 2020-11-26 23:57:34,6.89896
 2020-11-27 23:57:36,12.70414667
 2020-11-28 23:57:37,0
 2020-11-30 23:57:42,18.82991333
 2020-12-01 23:57:43,0
 2020-12-02 23:57:45,0
 2020-12-03 23:57:47,8.839086667
 2020-12-04 23:57:49,28.84052667
 2020-12-05 23:57:48,0
 2020-12-06 23:57:54,21.39506
 2020-12-07 23:57:52,0
 2020-12-08 23:57:56,0
 2020-12-10 23:58:00,13.35051333
 2020-12-10 23:58:00,8.819953333
 2020-12-11 23:58:03,0
 2020-12-12 23:58:03,0
 2020-12-13 23:58:06,0
 2020-12-14 23:58:06,0
 2020-12-15 23:58:10,1.053126667
 2020-12-16 23:58:03,0
 2020-12-17 23:58:04,0
 2020-12-20 23:58:07,0
 2020-12-21 23:58:19,0
 2020-12-23 23:58:15,0
 2020-12-24 23:58:21,0
 2020-12-25 23:58:26,21.86765333
 2020-12-26 23:58:24,0
 2020-12-28 23:58:29,0
 2020-12-30 23:58:35,0
 2020-12-31 23:58:29,7.1481
 2021-01-01 23:58:36,0
 2021-01-02 23:58:41,0
 2021-01-03 23:58:44,19.17966
 2021-01-04 23:58:47,0
 2021-01-05 23:58:48,0
 2021-01-06 23:58:49,0
 2021-01-07 23:58:52,0
 2021-01-08 23:58:57,0
 2021-01-10 23:59:02,0
 2021-01-11 23:58:51,0
