day,time,tidal_range
29-Sep-20,20:59:59,-0.2
29-Sep-20,21:59:59,0.003
29-Sep-20,22:59:59,0.2006
29-Sep-20,23:59:59,0.3383
30-Sep-20,0:59:59,0.3791
30-Sep-20,1:59:59,0.3135
30-Sep-20,2:59:59,0.1613
30-Sep-20,3:59:59,-0.0368
30-Sep-20,4:59:59,-0.2301
30-Sep-20,5:59:59,-0.3698
30-Sep-20,6:59:59,-0.4193
30-Sep-20,7:59:59,-0.3625
30-Sep-20,8:59:59,-0.2089
30-Sep-20,9:59:59,0.006
30-Sep-20,10:59:59,0.2277
30-Sep-20,11:59:59,0.3974
30-Sep-20,12:59:59,0.47
30-Sep-20,13:59:59,0.427
30-Sep-20,14:59:59,0.2811
30-Sep-20,15:59:59,0.0708
30-Sep-20,16:59:59,-0.1517
30-Sep-20,17:59:59,-0.3331
30-Sep-20,18:59:59,-0.4307
30-Sep-20,19:59:59,-0.421
30-Sep-20,20:59:59,-0.3056
30-Sep-20,21:59:59,-0.1132
30-Sep-20,22:59:59,0.1058
30-Sep-20,23:59:59,0.2919
1-Oct-20,0:59:59,0.3938
1-Oct-20,1:59:59,0.3845
1-Oct-20,2:59:59,0.2683
1-Oct-20,3:59:59,0.0783
1-Oct-20,4:59:59,-0.1348
1-Oct-20,5:59:59,-0.3162
1-Oct-20,6:59:59,-0.4203
1-Oct-20,7:59:59,-0.4195
1-Oct-20,8:59:59,-0.3106
1-Oct-20,9:59:59,-0.1172
1-Oct-20,10:59:59,0.1137
1-Oct-20,11:59:59,0.3223
1-Oct-20,12:59:59,0.4528
1-Oct-20,13:59:59,0.4701
1-Oct-20,14:59:59,0.3704
1-Oct-20,15:59:59,0.1813
1-Oct-20,16:59:59,-0.0475
1-Oct-20,17:59:59,-0.2592
1-Oct-20,18:59:59,-0.4031
1-Oct-20,19:59:59,-0.4458
1-Oct-20,20:59:59,-0.3774
1-Oct-20,21:59:59,-0.2145
1-Oct-20,22:59:59,0.0017
1-Oct-20,23:59:59,0.2143
2-Oct-20,0:59:59,0.3655
2-Oct-20,1:59:59,0.4136
2-Oct-20,2:59:59,0.3462
2-Oct-20,3:59:59,0.1837
2-Oct-20,4:59:59,-0.0287
2-Oct-20,5:59:59,-0.2345
2-Oct-20,6:59:59,-0.3812
2-Oct-20,7:59:59,-0.4321
2-Oct-20,8:59:59,-0.3734
2-Oct-20,9:59:59,-0.2172
2-Oct-20,10:59:59,-0.0002
2-Oct-20,11:59:59,0.2236
2-Oct-20,12:59:59,0.3952
2-Oct-20,13:59:59,0.468
2-Oct-20,14:59:59,0.422
2-Oct-20,15:59:59,0.2701
2-Oct-20,16:59:59,0.0536
2-Oct-20,17:59:59,-0.171
2-Oct-20,18:59:59,-0.348
2-Oct-20,19:59:59,-0.4358
2-Oct-20,20:59:59,-0.4151
2-Oct-20,21:59:59,-0.2917
2-Oct-20,22:59:59,-0.0963
2-Oct-20,23:59:59,0.1217
3-Oct-20,0:59:59,0.3047
3-Oct-20,1:59:59,0.403
3-Oct-20,2:59:59,0.3893
3-Oct-20,3:59:59,0.2683
3-Oct-20,4:59:59,0.0748
3-Oct-20,5:59:59,-0.1379
3-Oct-20,6:59:59,-0.3136
3-Oct-20,7:59:59,-0.408
3-Oct-20,8:59:59,-0.3982
3-Oct-20,9:59:59,-0.2864
3-Oct-20,10:59:59,-0.0987
3-Oct-20,11:59:59,0.1194
3-Oct-20,12:59:59,0.3126
3-Oct-20,13:59:59,0.4291
3-Oct-20,14:59:59,0.4363
3-Oct-20,15:59:59,0.3316
3-Oct-20,16:59:59,0.1432
3-Oct-20,17:59:59,-0.078
3-Oct-20,18:59:59,-0.2749
3-Oct-20,19:59:59,-0.3991
3-Oct-20,20:59:59,-0.4229
3-Oct-20,21:59:59,-0.3428
3-Oct-20,22:59:59,-0.1796
3-Oct-20,23:59:59,0.0264
4-Oct-20,0:59:59,0.2231
4-Oct-20,1:59:59,0.3588
4-Oct-20,2:59:59,0.3963
4-Oct-20,3:59:59,0.3253
4-Oct-20,4:59:59,0.1659
4-Oct-20,5:59:59,-0.0367
4-Oct-20,6:59:59,-0.2269
4-Oct-20,7:59:59,-0.3552
4-Oct-20,8:59:59,-0.3901
4-Oct-20,9:59:59,-0.3246
4-Oct-20,10:59:59,-0.1752
4-Oct-20,11:59:59,0.0218
4-Oct-20,12:59:59,0.2181
4-Oct-20,13:59:59,0.363
4-Oct-20,14:59:59,0.417
4-Oct-20,15:59:59,0.3636
4-Oct-20,16:59:59,0.216
4-Oct-20,17:59:59,0.0138
4-Oct-20,18:59:59,-0.1889
4-Oct-20,19:59:59,-0.3402
4-Oct-20,20:59:59,-0.4042
4-Oct-20,21:59:59,-0.3684
4-Oct-20,22:59:59,-0.2444
4-Oct-20,23:59:59,-0.0633
5-Oct-20,0:59:59,0.1303
