time,distance_permin_pernumber,shrimp_number
 2018-08-24 23:55:56,18.03,42.82
 2018-08-25 23:55:54,26.76,37.6
 2018-08-26 23:55:56,29.16,40.89
 2018-08-27 23:55:58,21.83,33.61
 2018-08-28 23:55:59,29.09,46.86
 2018-08-30 23:56:07,18.96,39.46
 2018-08-31 23:56:08,19.52,36.72
 2018-09-01 23:56:10,19.17,42.73
 2018-09-02 23:56:09,21.47,37.74
 2018-09-03 23:56:09,21.03,37.33
 2018-09-04 23:56:12,20.15,38.4
 2018-09-05 23:56:14,25.86,30.72
 2018-09-06 23:56:13,19.29,38.67
 2018-09-07 23:56:18,21.79,34.92
 2018-09-08 23:56:20,25.14,32.17
 2018-09-10 23:56:24,19.95,22.44
 2018-09-11 23:56:23,35.44,26.89
 2018-09-12 23:56:27,27.98,22.08
 2018-09-13 23:56:28,29.14,19.8
 2018-09-14 23:56:30,25.37,26.37
 2018-09-15 23:56:32,19.38,28.92
 2018-09-16 23:56:34,21.43,28.91
 2018-09-17 23:56:36,20.06,29.47
 2018-09-18 23:56:38,22.28,30.43
 2018-09-20 23:56:40,18.2,27.65
 2018-09-21 23:56:43,28.77,25.78
 2018-09-22 23:56:45,26.77,30.22
 2018-09-23 23:56:47,33.15,33.43
 2018-09-24 23:56:48,21.17,28.41
 2018-09-25 23:56:51,20.39,29.46
 2018-09-26 23:56:53,23.98,35.04
 2018-09-27 23:56:55,26.44,29.43
 2018-09-28 23:56:55,26.45,37.08
 2018-09-30 23:57:00,27.17,41.73
 2018-10-01 23:57:02,24.04,33.36
 2018-10-02 23:57:04,32.57,32.58
 2018-10-03 23:57:05,25.62,37.62
 2018-10-05 23:57:09,33.18,39.41
 2018-10-06 23:57:11,24.92,22.57
 2018-10-07 23:57:14,24.56,25.78
 2018-10-08 23:57:15,23.54,30.93
 2018-10-10 23:57:20,30.32,36.36
 2018-10-11 23:57:21,33.36,30.2
 2018-10-12 23:57:23,26.46,37.99
 2018-10-13 23:57:24,32.96,35.07
 2018-10-14 23:57:26,22.95,35.24
 2018-10-15 23:57:27,18.97,25.95
 2018-10-16 23:57:29,26.52,30.59
 2018-10-17 23:57:30,22.87,23.97
 2018-10-18 23:57:34,22.83,29.71
 2018-10-20 23:57:37,27.71,29.61
 2018-10-21 23:57:39,27.58,24.19
 2018-10-22 23:57:41,25.1,26.51
 2018-10-23 23:57:43,37.09,34.13
 2018-10-24 23:57:43,36.62,29.17
 2018-10-25 23:57:46,29.78,25.18
 2018-10-26 23:57:47,32.77,29.44
 2018-10-27 23:57:50,32.01,34.93
 2018-10-28 23:57:52,22.62,23.28
 2018-10-30 23:57:56,30.65,26.41
 2018-10-31 23:57:57,18.77,32.05
 2018-11-01 23:58:00,19.3,21.16
 2018-11-02 23:58:01,23.81,25.39
 2018-11-03 23:58:02,33.99,30.98
 2018-11-04 23:58:04,27.87,42.07
 2018-11-05 23:58:07,23.62,28.63
 2018-11-06 23:58:08,27.76,37.87
 2018-11-07 23:58:10,22.2,35.48
 2018-11-08 23:58:12,27.06,29.88
 2018-11-10 23:58:16,19.78,29.51
 2018-11-12 23:58:21,23.39,33.72
 2018-11-13 23:58:21,24.84,37.3
 2018-11-14 23:58:24,18.33,34.49
 2018-11-15 23:58:25,24.82,40.11
 2018-11-16 23:58:26,21.54,38.92
 2018-11-17 23:58:28,15.63,25.16
 2018-11-18 23:58:36,15.92,30.38
 2018-11-21 23:58:34,15.99,25.66
 2018-11-22 23:58:37,21.65,31.38
 2018-11-23 23:58:40,21.03,31.19
 2018-11-24 23:58:41,23.87,29.04
 2018-11-25 23:58:42,25.59,22.93
 2018-11-26 23:58:45,17.06,32.32
 2018-11-27 23:58:47,18.29,31.5
 2018-11-28 23:58:48,19.12,29.46
 2018-11-30 23:58:58,13.26,25.04
