starttime,endtime,rate,all_distance
17-11-26_23-58-37,17-11-27_23-58-36,0.1579,360.3
17-11-27_23-58-36,17-11-28_23-58-37,0.1053,172.5
17-11-30_23-58-35,17-12-01_23-58-34,0.2667,249.4
17-12-01_23-58-34,17-12-02_23-58-35,0.1765,250.12
17-12-02_23-58-35,17-12-03_23-58-32,0.05,51.22
17-12-03_23-58-32,17-12-04_23-58-29,0,0
17-12-04_23-58-29,17-12-05_23-58-30,0.0769,120.78
17-12-05_23-58-30,17-12-06_23-58-29,0.0769,81.94
17-12-08_23-58-14,17-12-09_23-58-13,0.15,362.45
17-12-12_23-58-12,17-12-13_23-58-08,0.2,407.38
17-12-13_23-58-08,17-12-14_23-58-08,0.2222,349.9
17-12-14_23-58-08,17-12-15_23-58-09,0.2,326.15
17-12-15_23-58-09,17-12-16_23-58-07,0.1905,439.66
17-12-16_23-58-07,17-12-17_23-58-20,0.2273,532.6
17-12-17_23-58-20,17-12-18_23-58-19,0.0588,61.4
17-12-20_23-58-18,17-12-21_23-58-17,0.2353,338.25
17-12-21_23-58-17,17-12-22_23-58-16,0.0588,120.51
17-12-22_23-58-16,17-12-23_23-58-13,0.2222,515.54
17-12-23_23-58-13,17-12-24_23-58-16,0.0556,50.7
17-12-24_23-58-16,17-12-25_23-58-14,0.1111,70.61
17-12-25_23-58-14,17-12-26_23-58-13,0,0
17-12-26_23-58-13,17-12-27_23-58-14,0.1,176.7
17-12-27_23-58-14,17-12-28_23-58-11,0.1111,136.04
17-12-30_23-58-11,17-12-31_23-58-09,0,0
17-12-31_23-58-09,18-01-01_23-58-07,0.125,135.55
18-01-01_23-58-07,18-01-02_23-58-06,0.2105,526.46
18-01-02_23-58-06,18-01-03_23-58-06,0.05,114.48
18-01-03_23-58-06,18-01-04_23-58-05,0.1765,248.46
18-01-04_23-58-05,18-01-05_23-58-05,0.25,193.37
18-01-05_23-58-05,18-01-06_23-58-05,0.2222,361.33
18-01-06_23-58-05,18-01-07_23-58-03,0.2143,313.26
18-01-07_23-58-03,18-01-08_23-58-03,0.1765,358.86
18-01-10_23-58-01,18-01-11_23-58-01,0.0625,72.03
18-01-11_23-58-01,18-01-12_23-58-00,0.1429,142.09
18-01-12_23-58-00,18-01-13_23-57-57,0.2308,422.31
18-01-13_23-57-57,18-01-14_23-57-56,0.1538,183.14
18-01-14_23-57-56,18-01-15_23-57-58,0,0
18-01-15_23-57-58,18-01-16_23-57-56,0.1765,301.83
18-01-16_23-57-56,18-01-17_23-57-57,0.05,95.04
18-01-17_23-57-57,18-01-18_23-57-54,0.1765,313.41
18-01-20_23-57-52,18-01-21_23-57-50,0.1579,345.82
18-01-21_23-57-50,18-01-22_23-57-52,0.0526,110.72
18-01-22_23-57-52,18-01-23_23-57-50,0.1053,196.81
18-01-23_23-57-50,18-01-24_23-57-50,0.0556,84.39
