time,distance_permin_pernumber,shrimp_number
 2018-12-01 23:58:53,10.07,12.98
 2018-12-02 23:58:56,16.11,14.02
 2018-12-03 23:58:58,16.01,12.58
 2018-12-04 23:59:00,13.33,19.26
 2018-12-05 23:59:08,19.23,19.48
 2018-12-06 23:59:03,10.56,13.02
 2018-12-07 23:59:11,12.63,14.29
 2018-12-08 23:59:06,11.05,12.49
 2018-12-10 23:59:10,14.31,15.67
 2018-12-11 23:59:11,14.3,20.73
 2018-12-12 23:59:14,14.7,19.97
 2018-12-13 23:59:15,10.13,18.94
 2018-12-14 23:59:18,12.59,16.8
 2018-12-15 23:59:19,13.55,19.66
 2018-12-16 23:59:20,19.37,16.81
 2018-12-17 23:59:22,15.8,18.94
 2018-12-18 23:59:24,14.42,16.43
 2018-12-20 23:59:28,16.39,17.28
 2018-12-21 23:59:30,14.89,22.62
 2018-12-22 23:59:32,17.96,22.63
 2018-12-23 23:59:35,9.96,13.26
 2018-12-24 23:59:35,14.1,20.91
 2018-12-25 23:59:37,9.94,16.58
 2018-12-26 23:59:38,11.92,17.89
 2018-12-27 23:59:40,41.29,16.61
 2018-12-28 23:59:41,14.41,20.21
 2018-12-30 23:59:45,13.92,19.63
 2018-12-31 23:59:47,11.91,16.8
 2019-01-01 23:59:48,13.96,14.27
 2019-01-02 23:59:51,9.82,11.78
 2019-01-03 23:59:53,21.61,16.41
 2019-01-04 23:59:55,11.35,15.78
 2019-01-06 00:00:01,17.93,15.63
 2019-01-06 23:59:58,14.34,13.17
 2019-01-07 23:59:59,13,19.52
 2019-01-09 00:00:01,10.53,17.32
 2019-01-11 00:00:03,12.37,19.87
 2019-01-12 00:00:07,6.65,12.98
 2019-01-13 00:00:07,20.47,26.75
 2019-01-14 00:00:12,11.79,18.9
 2019-01-15 00:00:10,16.58,13.17
 2019-01-16 00:00:13,17.15,15.69
 2019-01-17 00:00:16,20.79,21.14
 2019-01-18 00:00:17,16.25,17.3
 2019-01-19 00:00:20,24.58,17
 2019-01-21 00:00:23,11.04,13.33
 2019-01-22 00:00:24,12.92,11.91
 2019-01-23 00:00:28,15.03,14.54
 2019-01-24 00:00:29,15.84,19.48
 2019-01-25 00:00:30,14.41,17.55
 2019-01-26 00:00:32,11.4,18.6
 2019-01-27 00:00:34,14.21,16.89
 2019-01-28 00:00:36,15.83,17.1
 2019-01-29 00:00:37,10.65,12.61
 2019-01-31 00:00:46,9.38,12.41
 2019-02-01 00:00:43,15.5,12.84
 2019-02-02 00:00:45,13.36,12.25
 2019-02-03 00:00:46,15.44,14.43
 2019-02-04 00:00:47,13.26,14.55
 2019-02-05 00:00:53,15.4,15.31
 2019-02-06 00:00:53,18.78,23.38
 2019-02-07 00:00:53,17.58,19.38
 2019-02-08 00:00:56,13.45,14.48
 2019-02-09 00:00:58,14.9,16.49
 2019-02-11 00:01:00,10.07,12.27
 2019-02-12 00:01:03,13.04,12.16
 2019-02-13 00:01:05,14.15,15.72
 2019-02-14 00:01:10,14.92,16.46
 2019-02-15 00:01:06,12,19.21
