time,distance_permin_pernumber,shrimp_number
 2017-07-23 00:00:24,16.38,31.22
 2017-07-24 00:00:24,9.2,15.44
 2017-07-25 00:00:25,10.51,19.16
 2017-07-26 23:59:51,12.66,20.79
 2017-07-28 00:00:22,9.04,21.05
 2017-07-29 00:00:19,11.42,15.29
 2017-07-31 00:00:19,9.76,18.68
 2017-08-01 00:00:18,14.2,24.43
 2017-08-02 00:00:18,9.69,15.23
 2017-08-03 00:00:16,10.78,12.81
 2017-08-04 00:00:15,15.42,21.18
 2017-08-05 00:00:14,13.47,23.14
 2017-08-06 00:00:13,13.83,13.97
 2017-08-07 00:00:10,11.35,23.06
 2017-08-08 00:00:12,12.96,22.05
 2017-08-09 00:00:10,16.17,18.85
 2017-08-11 00:00:07,13.35,32.46
 2017-08-12 00:00:08,14.69,28.59
 2017-08-13 00:00:08,17.97,22.98
 2017-08-14 00:00:05,15.34,20.45
 2017-08-16 00:00:05,10.67,14.19
 2017-08-17 00:00:04,10.53,17.62
 2017-08-18 00:00:04,11.2,17.7
 2017-08-18 00:00:04,11.2,17.7
 2017-08-19 00:00:02,12.49,17.46
 2017-08-21 00:00:01,14.68,31.32
 2017-08-22 00:00:02,10.48,17.92
 2017-08-22 23:59:58,9.57,13.61
 2017-08-24 23:59:45,12.66,10.78
 2017-08-25 23:59:42,12.69,10.61
 2017-08-26 23:59:42,13.44,20.34
 2017-08-27 23:59:40,8.72,13.26
 2017-08-28 23:59:42,13.95,21.99
 2017-08-29 23:59:38,11.91,19.71
 2017-08-31 23:59:37,14.75,11.39
 2017-09-01 23:59:38,11.95,15.75
 2017-09-02 23:59:37,12.23,12.73
 2017-09-03 23:59:39,12.28,16.64
 2017-09-04 23:59:33,13.88,16.88
 2017-09-05 23:59:32,10.48,18.47
 2017-09-06 23:59:47,11.75,16.64
 2017-09-06 23:59:47,11.75,16.64
 2017-09-07 23:59:46,12.44,19.72
 2017-09-08 23:59:44,15.41,22.64
 2017-09-10 23:59:41,12.96,15.06
 2017-09-11 23:59:41,13.06,19.51
 2017-09-12 23:59:40,12.56,20.68
 2017-09-13 23:59:39,12.8,19.45
 2017-09-14 23:59:38,9.64,13.5
 2017-09-15 23:59:40,11.81,19.01
 2017-09-16 23:59:38,11.43,16.46
 2017-09-17 23:59:37,13.57,15.54
 2017-09-18 23:59:35,14.21,14.24
 2017-09-20 23:59:35,12.56,16.37
 2017-09-21 23:59:33,13.17,18.8
 2017-09-22 23:59:35,12.25,19.53
 2017-09-23 23:59:32,13.29,11.34
 2017-09-24 23:59:31,14.13,15.2
 2017-09-25 23:59:31,12.44,12.95
 2017-09-26 23:59:30,12.97,12.21
 2017-09-27 23:59:29,9.01,11.52
 2017-09-28 23:59:30,9.3,8.79
 2017-09-30 23:59:25,10.13,16.18
 2017-10-01 23:59:26,12.26,14.63
 2017-10-02 23:59:25,13.1,16.81
 2017-10-03 23:59:24,12.49,11.19
 2017-10-04 23:59:23,10.57,23.4
 2017-10-05 23:59:22,10.71,20.37
 2017-10-07 23:59:20,9.79,16
 2017-10-08 23:59:20,8.17,17.34
 2017-10-10 23:59:17,9.03,20.55
 2017-10-11 23:59:18,16.1,20.89
 2017-10-12 23:59:17,11.17,14.86
 2017-10-13 23:59:16,13.22,16.71
 2017-10-14 23:59:14,9.91,19.65
 2017-10-15 23:59:15,10.18,22.5
 2017-10-16 23:59:13,14.86,16.83
 2017-10-17 23:59:11,7.89,13.05
 2017-10-18 23:59:11,7.01,12.18
 2017-10-20 23:59:09,14.82,27.02
 2017-10-21 23:59:09,13.29,19.97
 2017-10-23 23:59:07,8.73,12.42
 2017-10-24 23:59:06,9.42,14.47
 2017-10-25 23:59:06,12.89,19.15
 2017-10-26 23:59:03,12.05,16.2
 2017-10-27 23:59:03,12.89,16.41
 2017-10-28 23:59:02,14.3,15.5
 2017-10-31 23:59:02,15.1,14.77
 2017-11-01 23:59:01,14.12,11.6
 2017-11-02 23:58:59,13.49,15.05
 2017-11-03 23:58:57,13.92,14.11
 2017-11-04 23:58:57,12.43,12.44
 2017-11-05 23:58:54,14.64,14.03
 2017-11-07 23:58:55,15.55,18.34
 2017-11-08 23:58:55,12.71,15.08
 2017-11-10 23:58:53,11.91,19.14
 2017-11-11 23:58:52,18.94,11.23
 2017-11-12 23:58:52,9.72,11.22
 2017-11-13 23:58:48,11.98,14.39
 2017-11-14 23:58:49,13.14,15.16
 2017-11-15 23:58:49,11.06,14.33
 2017-11-16 23:58:46,15.14,15.84
 2017-11-17 23:58:47,12.08,11.44
 2017-11-18 23:58:46,12.24,16.7
 2017-11-20 23:58:42,11.67,16.85
 2017-11-21 23:58:44,10.8,12.74
 2017-11-22 23:58:42,9.78,13.42
 2017-11-23 23:58:41,9.92,17.59
 2017-11-24 23:58:40,9.04,12.38
 2017-11-25 23:58:38,14.41,15.4
 2017-11-26 23:58:38,12.33,13.59
 2017-11-27 23:58:37,15.07,16.15
 2017-11-28 23:58:37,15.8,10.99
 2017-11-30 23:58:36,8.93,14.42
