time,distance_permin_pernumber,shrimp_number
 2020-09-23 23:55:34,10.43,46
 2020-09-24 23:55:31,11.65,44.06
 2020-09-25 23:55:40,12.88,30.58
 2020-09-26 23:55:41,11.55,29.66
 2020-09-27 23:55:43,12.23,39.13
 2020-09-28 23:55:46,13.74,38.21
 2020-09-30 23:55:49,13.78,35.93
 2020-10-01 23:55:45,14.13,39.86
 2020-10-02 23:55:54,12.19,36.95
 2020-10-03 23:55:53,16.21,38.47
 2020-10-06 23:55:54,16.43,36.25
 2020-10-07 23:55:54,15.1,39.03
 2020-10-10 23:55:59,13.52,33.53
 2020-10-12 23:56:05,15.48,34.08
 2020-10-13 23:56:09,14.07,40.99
 2020-10-14 23:56:07,14.5,32.87
 2020-10-15 23:56:14,15.62,26.97
 2020-10-17 23:56:14,15.2,34.74
 2020-10-18 23:56:22,10.64,25.17
 2020-10-20 23:56:19,16.98,28.95
 2020-10-21 23:56:27,16.47,30.19
 2020-10-22 23:56:22,17.54,30.73
 2020-10-23 23:56:24,16.64,25.33
 2020-10-24 23:56:25,12.76,28.71
 2020-10-25 23:56:31,13.99,31.25
 2020-10-26 23:56:30,15.42,42.37
 2020-10-27 23:56:37,15.9,36.85
 2020-10-28 23:56:41,11.73,22.07
 2020-10-30 23:56:37,13.24,31.37
 2020-10-31 23:56:46,9.72,35.06
 2020-11-01 23:56:41,10.69,32.07
 2020-11-02 23:56:43,17.73,36.04
 2020-11-03 23:56:45,15.97,28.84
 2020-11-07 23:56:52,15.25,28.46
 2020-11-10 23:57:05,16.28,41.24
 2020-11-11 23:57:05,17.56,42.49
 2020-11-12 23:57:09,12.82,38.97
 2020-11-13 23:57:10,14.83,39
 2020-11-14 23:57:13,14.53,36.81
 2020-11-15 23:57:13,13.67,29.99
 2020-11-16 23:57:16,14.08,23.97
 2020-11-17 23:57:17,12.02,29.22
 2020-11-18 23:57:21,15.69,24.46
 2020-11-22 23:57:18,10.09,28.5
 2020-11-23 23:57:26,16.76,28.14
 2020-11-24 23:57:31,11.66,24.73
